num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock
2,4,2.0,4.5,45.0,213
1,5,5.0,20.0,100.0,46
1,8,8.0,10.0,100.0,61
6,11,1.8333333333333333,3.5454545454545454,17.727272727272727,370
3,7,2.3333333333333335,3.2857142857142856,32.857142857142854,153
2,6,3.0,10.0,50.0,79
4,10,2.5,2.4,24.0,280
5,12,2.4,4.166666666666667,20.833333333333336,173
1,5,5.0,10.0,100.0,33
2,4,2.0,10.0,50.0,190
4,8,2.0,2.75,27.5,458
1,11,11.0,20.0,100.0,37
2,5,2.5,5.0,50.0,469
4,7,1.75,5.714285714285714,28.571428571428573,115
10,15,1.5,1.0,10.0,80
1,10,10.0,20.0,100.0,143
1,4,4.0,10.0,100.0,78
3,6,2.0,7.5,37.5,43
9,13,1.4444444444444444,1.2307692307692308,12.307692307692308,60
2,8,4.0,10.0,50.0,130
1,6,6.0,10.0,100.0,45
9,9,1.0,2.2222222222222223,11.11111111111111,193
10,13,1.3,1.0,10.0,206
1,11,11.0,20.0,100.0,57
3,6,2.0,4.666666666666667,46.66666666666667,87
1,4,4.0,20.0,100.0,122
3,8,2.6666666666666665,3.75,37.5,259
6,12,2.0,4.0,20.0,99
5,7,1.4,2.0,20.0,287
1,6,6.0,20.0,100.0,37
2,12,6.0,4.5,45.0,94
5,11,2.2,4.2727272727272725,21.363636363636363,235
3,11,3.6666666666666665,8.363636363636363,41.81818181818182,83
3,9,3.0,3.3333333333333335,33.333333333333336,620
2,5,2.5,10.0,50.0,129
1,5,5.0,10.0,100.0,41
2,8,4.0,11.5,57.5,123
5,10,2.0,1.9,19.0,82
3,5,1.6666666666666667,6.8,34.0,100
2,5,2.5,5.0,50.0,53
6,12,2.0,3.6666666666666665,18.333333333333332,284
2,11,5.5,4.363636363636363,43.63636363636363,98
1,6,6.0,20.0,100.0,38
3,6,2.0,3.8333333333333335,38.333333333333336,206
8,13,1.625,2.6923076923076925,13.461538461538462,99
2,8,4.0,4.25,42.5,86
1,4,4.0,20.0,100.0,99
3,5,1.6666666666666667,3.6,36.0,128
5,13,2.6,4.384615384615385,21.923076923076927,117
8,12,1.5,1.25,12.5,198
1,5,5.0,20.0,100.0,65
4,8,2.0,2.5,25.0,34
5,9,1.8,4.222222222222222,21.11111111111111,149
3,9,3.0,3.3333333333333335,33.333333333333336,64
1,6,6.0,20.0,100.0,26
3,5,1.6666666666666667,4.0,40.0,114
1,9,9.0,20.0,100.0,168
10,14,1.4,1.0,10.0,92
4,7,1.75,5.285714285714286,26.428571428571427,90
2,5,2.5,5.2,52.0,167
1,10,10.0,20.0,100.0,42
3,8,2.6666666666666665,3.375,33.75,115
5,5,1.0,4.0,20.0,293
1,7,7.0,10.0,100.0,21
3,6,2.0,4.0,40.0,36
4,10,2.5,5.4,27.0,91
1,5,5.0,10.0,100.0,42
1,10,10.0,20.0,100.0,73
4,7,1.75,4.857142857142857,24.285714285714285,54
10,13,1.3,1.0,10.0,60
1,6,6.0,20.0,100.0,38
1,10,10.0,10.0,100.0,52
1,5,5.0,10.0,100.0,32
1,9,9.0,20.0,100.0,45
2,6,3.0,5.666666666666667,56.66666666666667,90
4,12,3.0,5.833333333333333,29.166666666666664,109
1,5,5.0,20.0,100.0,36
1,8,8.0,10.0,100.0,49
3,7,2.3333333333333335,7.571428571428571,37.857142857142854,53
5,11,2.2,2.5454545454545454,25.454545454545453,105
1,4,4.0,10.0,100.0,65
1,8,8.0,20.0,100.0,101
4,6,1.5,3.0,30.0,172
8,11,1.375,2.909090909090909,14.545454545454547,360
2,4,2.0,10.0,50.0,312
1,8,8.0,10.0,100.0,115
3,6,2.0,7.833333333333333,39.166666666666664,140
5,11,2.2,1.9090909090909092,19.09090909090909,102
5,7,1.4,2.2857142857142856,22.857142857142854,148
9,12,1.3333333333333333,2.4166666666666665,12.083333333333332,590
1,5,5.0,10.0,100.0,48
2,10,5.0,12.4,62.0,154
3,5,1.6666666666666667,6.0,30.0,135
4,9,2.25,2.2222222222222223,22.22222222222222,161
2,5,2.5,8.8,44.00000000000001,187
1,9,9.0,10.0,100.0,177
1,6,6.0,20.0,100.0,41
1,12,12.0,10.0,100.0,45
1,6,6.0,10.0,100.0,34
1,12,12.0,20.0,100.0,47
1,5,5.0,20.0,100.0,34
2,8,4.0,5.75,57.5,74
2,5,2.5,5.6,56.0,38
2,9,4.5,13.88888888888889,69.44444444444444,66
1,4,4.0,20.0,100.0,132
3,8,2.6666666666666665,4.125,41.25,226
1,4,4.0,10.0,100.0,92
1,8,8.0,20.0,100.0,107
1,5,5.0,20.0,100.0,86
2,9,4.5,5.777777777777778,57.77777777777777,172
2,5,2.5,5.6,56.0,134
2,9,4.5,12.333333333333334,61.66666666666667,178
4,6,1.5,5.5,27.5,53
3,9,3.0,3.4444444444444446,34.44444444444444,139
5,8,1.6,2.25,22.5,37
5,13,2.6,4.230769230769231,21.153846153846153,65
8,10,1.25,2.5,12.5,70
2,10,5.0,4.6,45.99999999999999,108
8,10,1.25,1.4,14.0,38
8,14,1.75,2.5714285714285716,12.857142857142858,107
2,5,2.5,9.6,48.0,140
6,11,1.8333333333333333,2.1818181818181817,21.818181818181817,109
6,7,1.1666666666666667,1.8571428571428572,18.571428571428573,180
9,14,1.5555555555555556,2.7142857142857144,13.571428571428573,383
4,5,1.25,5.6,28.0,232
4,9,2.25,3.3333333333333335,33.333333333333336,295
4,6,1.5,3.0,30.0,75
5,9,1.8,4.444444444444445,22.22222222222222,221
